fecha,titulo,autor(a),categoria,periodico,enlace
2023-05-10 22:26:00,Colegio de Trabajadores Sociales recomienda que se incluya alianza con la UPR en medida de sinhogarismo,Naysha Zamira Padró,Ahora,Noticel,https://www.noticel.com/ahora/gobierno/20230510/colegio-de-trabajadores-sociales-recomienda-que-se-incluya-alianza-con-la-upr-en-medida-de-sinhogari-2/
2023-05-10 21:01:00,"Antetokounmpo, Doncic, Embiid, Tatum y Gilgeous-Alexander, el quinteto del año en la NBA",EFE,Nba,Noticel,https://www.noticel.com/nba/baloncesto/deportes/20230510/antetokounmpo-doncic-embiid-tatum-y-gilgeous-alexander-el-quinteto-del-ano-en-la-nba/
2023-05-10 19:18:00,Mujeres Progresistas piden a Justicia investigación contra el alcalde de Trujillo Alto,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/policiacas/20230510/mujeres-progresistas-piden-a-justicia-investigacion-contra-el-alcalde-de-trujillo-alto/
2023-05-10 18:51:00,Culpable por un asesinato en Aguas Buenas,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/policiacas/20230510/culpable-por-un-asesinato-en-aguas-buenas/
2023-05-10 18:24:00,Doble asesinato en Vega Baja,CyberNews,La-Calle,Noticel,https://www.noticel.com/la-calle/policiacas/20230510/doble-asesinato-en-vega-baja-2/
2023-05-10 17:55:00,Siguen las reservas por parte de entidades para crear Oficina de Apoyo a la Población sin Hogar,Naysha Zamira Padró,Ahora,Noticel,https://www.noticel.com/ahora/legislatura/20230510/siguen-las-reservas-por-parte-de-entidades-para-crear-oficina-de-apoyo-a-la-poblacion-sin-hogar/
2023-05-10 17:47:00,Natti Natasha abrirá locales en Miami y Nueva York de una cadena de restaurantes,EFE,Pop,Noticel,https://www.noticel.com/pop/fama/20230510/natti-natasha-abrira-locales-en-miami-y-nueva-york-de-una-cadena-de-restaurantes/
2023-05-10 17:40:00,Cargos por manipular máquina de casino y cobrar premios ilegalmente,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/policiacas/20230510/cargos-por-manipular-maquina-de-casino-y-cobrar-premios-ilegalmente/
2023-05-10 17:15:00,Radican varias querellas contra Chris Agront,NotiCel,Ahora,Noticel,https://www.noticel.com/ahora/20230510/radican-varias-querellas-contra-chris-agront/
2023-05-10 17:15:00,Juan Cardona renuncia como dirigente de Ponce,NotiCel,Deportes,Noticel,https://www.noticel.com/deportes/baloncesto/top-stories/20230510/juan-cardona-renuncia-como-dirigente-de-ponce/
2023-05-10 16:49:00,Google abre su herramienta de inteligencia artificial a 180 países,EFE,Hack,Noticel,https://www.noticel.com/hack/20230510/google-abre-su-herramienta-de-inteligencia-artificial-a-180-paises/
2023-05-10 16:28:00,El congresista George Santos queda en libertad bajo fianza,EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/mundo/top-stories/20230510/el-congresista-george-santos-queda-en-libertad-bajo-fianza/
2023-05-10 16:19:00,Museo del Niño de Carolina celebra el 'Día del Niño',NotiCel,Pop,Noticel,https://www.noticel.com/pop/20230510/museo-del-nino-de-carolina-celebra-el-dia-del-nino/
2023-05-10 16:08:00,Los últimos vuelos con migrantes expulsados por motivos sanitarios despegan de El Paso,EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/mundo/20230510/los-ultimos-vuelos-con-migrantes-expulsados-por-motivos-sanitarios-despegan-de-el-paso/
2023-05-10 15:47:00,DeSantis firma ley que dificulta el establecimiento de inmigrantes en Florida,EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/mundo/20230510/desantis-firma-ley-que-dificulta-el-establecimiento-de-inmigrantes-en-florida/
2023-05-10 15:27:00,En suspenso victoria de las Pinkin en el segundo juego de la serie final,NotiCel,Deportes,Noticel,https://www.noticel.com/deportes/20230510/en-suspenso-victoria-de-las-pinkin-en-el-segundo-juego-de-la-serie-final/
2023-05-10 15:03:00,Mujer que insultó empleado de Burger King llega a acuerdo con la Fiscalía,NotiCel,Tribunales,Noticel,https://www.noticel.com/tribunales/ahora/top-stories/20230510/mujer-que-insulto-empleado-de-burger-king-llega-a-acuerdo-con-la-fiscalia/
2023-05-10 14:57:00,UCC no avala propuesta de nueva puntuación mínima para aprobar reválida de medicina,Naysha Zamira Padró,Ahora,Noticel,https://www.noticel.com/ahora/legislatura/20230510/ucc-no-avala-propuesta-de-nueva-puntuacion-minima-para-aprobar-revalida-de-medicina/
2023-05-10 14:22:00,Pierluisi enmendaría ley para que municipios puedan cerrar negocios,CyberNews,Gobierno,Noticel,https://www.noticel.com/gobierno/ahora/20230510/pierluisi-enmendaria-ley-para-que-municipios-puedan-cerrar-negocios/
2023-05-10 14:05:00,Menor que murió en accidente se llevó el carro de su mamá sin permiso,NotiCel,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/20230510/menor-que-murio-en-accidente-se-llevo-el-carro-de-su-mama-sin-permiso/
2023-05-10 13:53:00,Ordenan investigar incidente de exposición deshonesta en Tren Urbano,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/ahora/20230510/ordenan-investigar-incidente-de-exposicion-deshonesta-en-tren-urbano/
2023-05-10 13:17:00,Arcángel será homenajeado en Premios Tu Música Urbano,EFE,Musica,Noticel,https://www.noticel.com/musica/pop/20230510/arcangel-sera-homenajeado-en-premios-tu-musica-urbano/
2023-05-10 12:51:00,Trump anuncia que apelará el veredicto de culpabilidad por abuso sexual,EFE,Politica,Noticel,https://www.noticel.com/politica/ahora/20230510/trump-anuncia-que-apelara-el-veredicto-de-culpabilidad-por-abuso-sexual/
2023-05-10 12:32:00,Denuncian problemas en la salud de Mundi,CyberNews,Ahora,Noticel,https://www.noticel.com/ahora/20230510/denuncian-problemas-en-la-salud-de-mundi/
2023-05-10 12:00:00,Grupo de pacientes narra pesadilla de interrupción de servicios para dolor crónico por parte de MMM; médicos radican demanda de injunction contra aseguradora,Auspiciado,Auspiciado,Noticel,https://www.noticel.com/auspiciado/20230510/grupo-de-pacientes-narra-pesadilla-de-interrupcion-de-servicios-para-dolor-cronico-por-parte-de-mmm/
2023-05-10 11:45:00,PPD: se abre período de candidaturas para llenar vacante dejada por senadora Hau,NotiCel,Politica,Noticel,https://www.noticel.com/politica/ppd/ahora/20230510/en-vivo-anuncian-proceso-de-candidaturas-para-vacante-en-el-senado/
